codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha
01001-01008,2025,2,5.0,1,45.0,119124.0,SIN MARCA,13.0,0.0,0.0,2025-02-01
01001-01008,2025,3,8.0,2,45.0,119887.5,SIN MARCA,13.0,0.0,0.0,2025-03-01
01001-01008,2025,4,3.5,2,45.0,114751.0,SIN MARCA,13.0,0.0,0.0,2025-04-01
01001-01008,2025,5,4.0,1,45.0,124703.0,SIN MARCA,13.0,0.0,0.0,2025-05-01
01001-01008,2025,6,18.0,3,45.0,127464.0,SIN MARCA,13.0,0.0,0.0,2025-06-01
01001-01008,2025,11,5.0,1,45.0,66657.0,SIN MARCA,13.0,0.0,0.0,2025-11-01
01001-01008,2026,3,5.0,1,48.0,74155.0,SIN MARCA,13.0,0.0,0.0,2026-03-01
01001-01009,2024,3,1.0,1,66.0,66656.0,SIN MARCA,0.0,0.0,0.0,2024-03-01
01001-01009,2024,9,10.0,2,80.0,60578.0,SIN MARCA,0.0,0.0,0.0,2024-09-01
01001-01009,2024,11,1.0,1,80.0,90246.0,SIN MARCA,0.0,0.0,0.0,2024-11-01
01001-01009,2025,3,4.0,1,80.0,117533.0,SIN MARCA,0.0,0.0,0.0,2025-03-01
01001-01010,2024,3,12.0,2,60.005,58251.5,SIN MARCA,0.0,0.0,0.0,2024-03-01
01001-01011,2024,3,9.0,1,75.0,115988.0,SIN MARCA,0.0,0.0,0.0,2024-03-01
01001-01011,2024,5,1.0,1,78.0,93750.0,SIN MARCA,0.0,0.0,0.0,2024-05-01
01001-01011,2025,6,2.0,1,79.5,294233.0,SIN MARCA,0.0,0.0,0.0,2025-06-01
01001-01012,2024,3,8.0,2,132.0,143517.0,HONDA,2.0,0.0,0.0,2024-03-01
01001-01012,2024,5,3.0,3,132.0,106168.66666666667,HONDA,2.0,0.0,0.0,2024-05-01
01001-01012,2024,9,4.0,1,140.0,82075.0,HONDA,2.0,0.0,0.0,2024-09-01
01001-01012,2024,11,4.0,1,132.0,76322.0,HONDA,2.0,0.0,0.0,2024-11-01
01001-01012,2024,12,12.0,2,140.0,59261.0,HONDA,2.0,0.0,0.0,2024-12-01
01001-01012,2025,2,5.0,1,140.0,81912.0,HONDA,2.0,0.0,0.0,2025-02-01
01001-01012,2025,3,23.0,3,113.33333333333333,104548.66666666667,HONDA,2.0,0.0,0.0,2025-03-01
01001-01012,2025,4,4.0,1,85.0,172273.0,HONDA,2.0,0.0,0.0,2025-04-01
01001-01012,2025,5,3.0,1,140.0,152726.0,HONDA,2.0,0.0,0.0,2025-05-01
01001-01012,2025,6,4.0,1,140.0,42250.0,HONDA,2.0,0.0,0.0,2025-06-01
01001-01012,2025,8,5.0,1,140.0,73318.0,HONDA,2.0,0.0,0.0,2025-08-01
01001-01012,2025,11,5.0,1,140.0,50426.0,HONDA,2.0,0.0,0.0,2025-11-01
01001-01012,2026,3,6.0,1,140.0,103119.0,HONDA,2.0,0.0,0.0,2026-03-01
01001-01012,2026,4,3.0,1,140.0,134932.0,HONDA,2.0,0.0,0.0,2026-04-01
01001-01013,2024,3,0.5,1,99.0,10724.0,REPSOL 5LT. 50%,0.0,0.0,0.0,2024-03-01
01001-01013,2025,6,1.0,1,99.0,113861.0,REPSOL 5LT. 50%,0.0,0.0,0.0,2025-06-01
01001-01013,2025,11,2.0,2,99.0,98803.0,REPSOL 5LT. 50%,0.0,0.0,0.0,2025-11-01
01001-01014,2024,3,6.0,1,132.0,59832.0,HCF-2 HONDA RODOLFO,6.0,0.0,0.0,2024-03-01
01001-01014,2025,2,5.0,1,96.86,38401.0,HCF-2 HONDA RODOLFO,6.0,0.0,0.0,2025-02-01
01001-01014,2025,3,9.0,1,78.0,117533.0,HCF-2 HONDA RODOLFO,6.0,0.0,0.0,2025-03-01
01001-01014,2025,7,4.0,1,96.86,67753.0,HCF-2 HONDA RODOLFO,6.0,0.0,0.0,2025-07-01
01001-01015,2025,2,4.0,4,347.39,136465.75,VTM-4 HONDA RODOLFO,0.0,0.0,0.0,2025-02-01
01001-01015,2025,7,4.0,1,288.0,251370.0,VTM-4 HONDA RODOLFO,0.0,0.0,0.0,2025-07-01
01001-01016,2024,3,6.0,1,56.67,51846.0,WOLVER,21.0,0.0,0.0,2024-03-01
01001-01016,2024,4,12.0,2,56.665,56787.5,WOLVER,21.0,0.0,0.0,2024-04-01
01001-01016,2024,6,10.0,2,56.67,83303.0,WOLVER,21.0,0.0,0.0,2024-06-01
01001-01016,2024,7,12.0,2,62.335,63939.0,WOLVER,21.0,0.0,0.0,2024-07-01
