codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha,lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,mes_sin,mes_cos,km_log,km_por_mes,precio_log,sobre_stock,codigo_enc,marca_enc
01001-01004,2025,11,18.0,18,9.5,75411.05555555556,SIN MARCA,48.0,0.0,0.0,2025-11-01,14.0,11.0,19.0,16.0,14.333333333333334,3.511884584284247,13.5,3.016620625799667,-0.5000000000000004,0.8660254037844384,11.23072242922004,1.0209747662927309,2.3513752571634776,1,3,1
01001-01004,2025,12,19.0,19,9.5,76315.68421052632,SIN MARCA,48.0,0.0,0.0,2025-12-01,18.0,11.0,16.0,15.0,17.0,2.645751311064591,14.0,3.687817782917152,-2.4492935982947064e-16,1.0,11.242646859299521,0.9368872382749601,2.3513752571634776,1,3,1
01001-01004,2026,1,18.0,18,9.5,104331.33333333331,SIN MARCA,48.0,0.0,0.0,2026-01-01,19.0,14.0,11.0,24.0,18.333333333333332,0.5773502691896286,15.166666666666666,3.6560452221856683,0.49999999999999994,0.8660254037844387,11.555336596143711,11.555336596143711,2.3513752571634776,1,3,1
01001-01004,2026,2,24.0,24,9.5,92667.375,SIN MARCA,48.0,0.0,0.0,2026-02-01,18.0,18.0,11.0,16.0,20.333333333333332,3.2145502536643193,17.333333333333332,4.457203906785808,0.8660254037844386,0.5000000000000001,11.436782539086536,5.718391269543268,2.3513752571634776,1,3,1
01001-01004,2026,3,10.0,10,9.5,60662.7,SIN MARCA,48.0,0.0,0.0,2026-03-01,24.0,19.0,11.0,18.0,17.333333333333332,7.023769168568493,17.166666666666668,4.750438576243952,1.0,6.123233995736766e-17,11.013100775096223,3.671033591698741,2.3513752571634776,1,3,1
01001-01004,2026,4,18.0,18,9.5,85240.38888888889,SIN MARCA,48.0,0.0,0.0,2026-04-01,10.0,18.0,14.0,20.0,17.333333333333332,7.023769168568493,17.833333333333332,4.4907311951024935,0.8660254037844387,-0.4999999999999998,11.35324237994289,2.8383105949857224,2.3513752571634776,1,3,1
01001-01004,2026,5,14.0,14,9.5,84269.14285714286,SIN MARCA,48.0,0.0,0.0,2026-05-01,18.0,24.0,18.0,19.0,14.0,3.999999999999999,17.166666666666668,4.750438576243952,0.49999999999999994,-0.8660254037844387,11.341782903996277,2.2683565807992556,2.3513752571634776,1,3,1
01001-01005,2026,4,8.0,2,60.0,127131.0,HONDA,9.0,0.0,0.0,2026-04-01,3.0,10.0,1.0,3.0,4.333333333333333,3.2145502536643176,5.666666666666667,3.386246693120078,0.8660254037844387,-0.4999999999999998,11.75298119574837,2.9382452989370926,4.110873864173311,1,4,3
01001-01005,2026,5,4.0,1,60.0,123250.0,HONDA,9.0,0.0,0.0,2026-05-01,8.0,2.0,3.0,1.0,5.0,2.6457513110645903,5.833333333333333,3.250640962435972,0.49999999999999994,-0.8660254037844387,11.721978205462285,2.344395641092457,4.110873864173311,1,4,3
01001-01006,2025,11,6.0,2,45.0,152147.0,SIN MARCA,4.0,0.0,0.0,2025-11-01,4.0,8.0,8.0,2.0,4.333333333333333,1.5275252316519463,5.666666666666667,2.0655911179772892,-0.5000000000000004,0.8660254037844384,11.932609010315948,1.0847826373014497,3.828641396489095,1,5,1
01001-01006,2026,1,8.0,4,45.0,78300.5,SIN MARCA,4.0,0.0,0.0,2026-01-01,6.0,3.0,5.0,9.0,6.0,1.9999999999999998,6.166666666666667,2.2286019533929045,0.49999999999999994,0.8660254037844387,11.268322038883522,11.268322038883522,3.828641396489095,1,5,1
01001-01006,2026,2,3.0,1,45.0,83700.0,SIN MARCA,4.0,0.0,0.0,2026-02-01,8.0,4.0,8.0,2.0,5.666666666666667,2.516611478423583,5.333333333333333,2.3380903889000244,0.8660254037844386,0.5000000000000001,11.3350062038375,5.66750310191875,3.828641396489095,1,5,1
01001-01006,2026,3,5.0,2,45.0,75400.0,SIN MARCA,4.0,0.0,0.0,2026-03-01,3.0,6.0,8.0,7.0,5.333333333333333,2.516611478423583,4.833333333333333,1.9407902170679512,1.0,6.123233995736766e-17,11.230575816507569,3.74352527216919,3.828641396489095,1,5,1
01001-01006,2026,4,2.0,1,45.0,90985.0,SIN MARCA,4.0,0.0,0.0,2026-04-01,5.0,8.0,3.0,5.0,3.3333333333333335,1.5275252316519463,4.666666666666667,2.160246899469286,0.8660254037844387,-0.4999999999999998,11.418460927509608,2.854615231877402,3.828641396489095,1,5,1
01001-01006,2026,5,2.0,1,45.0,89113.0,SIN MARCA,4.0,0.0,0.0,2026-05-01,2.0,3.0,4.0,8.0,3.0,1.732050807568877,4.333333333333333,2.4221202832779927,0.49999999999999994,-0.8660254037844387,11.397671727939567,2.2795343455879133,3.828641396489095,1,5,1
01001-010078,2026,2,1.0,1,45.0,78332.0,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-02-01,5.0,2.0,4.0,9.0,3.0,2.0000000000000027,2.6666666666666665,1.6329931618554518,0.8660254037844386,0.5000000000000001,11.268724249129983,5.6343621245649915,3.828641396489095,0,7,4
01001-010078,2026,3,12.0,5,45.0,89819.6,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-03-01,1.0,3.0,1.0,10.0,6.0,5.5677643628300215,4.5,3.9370039370059056,1.0,6.123233995736766e-17,11.405569626646137,3.801856542215379,3.828641396489095,0,7,4
01001-010078,2026,4,9.0,6,45.0,88902.83333333333,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-04-01,12.0,5.0,4.0,3.0,7.333333333333333,5.686240703077327,5.333333333333333,4.320493798938574,0.8660254037844387,-0.4999999999999998,11.395310540182422,2.8488276350456054,3.828641396489095,0,7,4
01001-010078,2026,5,8.0,5,45.0,156389.6,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-05-01,9.0,1.0,2.0,9.0,9.666666666666666,2.081665999466129,6.333333333333333,4.08248290463863,0.49999999999999994,-0.8660254037844387,11.960112002985342,2.3920224005970683,3.828641396489095,0,7,4
